VAL,N,AVL,AD
4470,1,1,1
7494,2,2,2
6847,3,1,3
3113,4,3,2
1243,5,3,3
599,6,3,4
8550,7,4,3
6767,8,4,4
5301,9,3,5
2195,10,3,4
421,11,4,5
9424,12,4,4
1019,13,4,5
5270,14,5,6
6624,15,5,6
204,16,4,6
1325,17,5,5
9324,18,5,5
8940,19,5,6
3623,20,5,3
6895,21,5,4
59,22,4,7
4255,23,6,4
191,24,5,8
3368,25,6,4
6336,26,5,7
5940,27,6,8
1231,28,5,6
8389,29,5,4
8622,30,6,7
6611,31,6,8
467,32,5,6
5235,33,6,7
7988,34,6,5
5233,35,6,8
3805,36,6,5
4174,37,5,6
7407,38,6,5
3300,39,6,5
1720,40,5,6
9123,41,6,7
736,42,6,6
6010,43,5,9
6394,44,6,9
8909,45,6,8
4975,46,6,9
1275,47,7,6
4991,48,5,10
7886,49,6,6
6544,50,5,10
347,51,6,7
9491,52,7,5
6491,53,6,11
1365,54,7,7
9701,55,7,6
1552,56,7,8
9710,57,7,7
1012,58,7,7
964,59,6,8
3610,60,6,5
6774,61,6,5
6234,62,6,10
1683,63,7,9
3879,64,7,7
6881,65,6,5
7072,66,7,6
6296,67,7,11
7731,68,7,7
4685,69,6,10
2398,70,7,5
1164,71,7,7
946,72,8,9
348,73,8,8
5773,74,7,9
7071,75,7,7
3767,76,7,6
2998,77,7,6
1713,78,7,10
9001,79,7,8
5253,80,7,8
5603,81,7,10
9239,82,7,8
9572,83,7,7
7044,84,7,8
4105,85,7,8
7882,86,6,8
4664,87,6,11
2919,88,7,7
2050,89,7,7
6876,90,8,6
1479,91,8,9
2347,92,7,6
5890,93,7,10
6068,94,7,11
2203,95,8,7
4434,96,7,5
1544,97,7,10
5459,98,7,11
2252,99,7,8
5361,100,7,12
4019,101,7,9
6204,102,7,12
9062,103,8,9
3575,104,8,6
407,105,8,9
1827,106,8,8
5466,107,8,12
5215,108,7,11
4303,109,6,6
9556,110,7,8
1316,111,6,7
7415,112,7,6
8933,113,7,9
3928,114,7,10
782,115,7,10
274,116,8,8
9792,117,7,8
2547,118,7,8
675,119,8,7
7899,120,7,7
526,121,8,7
7873,122,6,9
6613,123,7,9
2716,124,8,9
882,125,8,11
8739,126,8,9
5139,127,7,12
8349,128,8,6
1535,129,8,11
5476,130,7,13
3685,131,7,7
1440,132,8,10
4438,133,8,6
225,134,8,9
3130,135,8,6
2157,136,8,8
1980,137,9,9
2265,138,9,9
357,139,8,10
4842,140,7,11
3168,141,7,7
3969,142,8,11
8947,143,8,9
7485,144,8,7
2507,145,8,9
7675,146,8,8
3744,147,8,8
1909,148,8,10
3561,149,8,7
1383,150,8,11
1243,151,3,3
2453,152,8,10
983,153,8,9
5722,154,8,11
3863,155,8,8
5955,156,7,10
6222,157,7,13
7327,158,8,7
9443,159,8,6
6960,160,8,9
1039,161,8,8
8924,162,8,10
1243,163,3,3
6680,164,7,7
7534,165,8,9
1718,166,8,11
1488,167,9,12
8829,168,8,10
5780,169,8,11
2695,170,9,10
2039,171,9,10
8255,172,8,7
5424,173,8,13
2879,174,9,10
6302,175,8,12
2127,176,9,9
5598,177,7,14
8088,178,8,8
2756,179,8,11
7876,180,8,10
4747,181,7,12
5647,182,8,12
793,183,9,12
2125,184,9,10
1144,185,9,9
8224,186,9,9
787,187,9,13
2040,188,9,11
1869,189,7,11
4609,190,8,12
3282,191,9,8
1187,192,9,8
4415,193,9,7
1986,194,9,11
3943,195,8,12
7761,196,9,10
2085,197,9,11
7634,198,9,10
3169,199,9,9
847,200,9,13
999,201,7,10
4806,202,10,13
871,203,9,14
2567,204,8,11
696,205,7,8
1142,206,8,10
2541,207,8,10
2053,208,9,12
4886,209,10,12
6088,210,8,13
481,211,7,8
1144,212,9,9
8175,213,8,10
754,214,9,11
1269,215,8,7
8651,216,9,10
7831,217,9,11
954,218,9,10
7778,219,9,12
2453,220,8,10
4343,221,9,8
4751,222,9,14
4042,223,9,10
5374,224,7,14
7896,225,9,8
3086,226,8,7
8095,227,9,11
8403,228,9,5
1728,229,9,9
4622,230,8,13
4723,231,10,13
7819,232,8,13
5932,233,7,11
3597,234,9,7
47,235,9,8
6394,236,6,9
1327,237,8,8
542,238,9,8
6040,239,8,12
4166,240,9,9
8922,241,8,11
1443,242,7,11
2415,243,9,11
649,244,9,8
2461,245,9,11
4584,246,10,13
5527,247,8,15
5047,248,10,13
3580,249,9,8
1104,250,9,11
3596,251,9,9
7408,252,8,7
5653,253,7,13
4388,254,10,9
2786,255,8,12
680,256,9,9
5121,257,9,14
9496,258,8,9
5612,259,8,13
5525,260,7,16
2826,261,8,13
3488,262,10,8
3615,263,10,6
9,264,9,9
1820,265,8,10
148,266,9,9
8358,267,9,7
4320,268,10,9
4526,269,9,14
4256,270,10,7
3319,271,10,6
4956,272,8,13
6435,273,6,12
3391,274,10,9
2421,275,9,12
6831,276,8,6
4476,277,9,15
6409,278,9,13
8408,279,9,6
7752,280,9,11
5568,281,8,16
5338,282,8,13
4298,283,10,8
1395,284,8,12
4367,285,10,10
4309,286,10,10
5331,287,8,14
1690,288,7,11
9907,289,8,9
9033,290,8,10
6775,291,7,7
320,292,9,9
5528,293,8,17
7506,294,9,10
6526,295,9,12
7264,296,8,8
6238,297,7,12
7779,298,10,14
1892,299,9,12
2433,300,9,13
221,301,9,10
3459,302,9,10
3954,303,10,13
6029,304,8,13
792,305,7,14
2790,306,9,14
6125,307,8,14
6098,308,7,15
7652,309,10,11
2430,310,9,14
6734,311,8,8
5560,312,8,18
75,313,8,10
1937,314,9,11
4306,315,10,11
2100,316,9,12
1772,317,9,11
2236,318,9,9
1171,319,9,9
4268,320,10,9
2406,321,10,12
56,322,8,9
6390,323,9,10
9948,324,8,10
8245,325,7,10
1340,326,9,9
4886,327,9,12
7321,328,10,9
2475,329,10,12
1427,330,9,13
641,331,9,9
2788,332,9,15
3827,333,9,9
5184,334,10,13
2897,335,9,11
1346,336,10,10
2,337,9,10
1039,338,8,8
5822,339,8,12
1897,340,11,13
910,341,9,12
1310,342,9,8
5474,343,9,14
5149,344,10,14
9092,345,8,10
6956,346,9,10
878,347,9,15
8716,348,9,11
8485,349,9,7
8352,350,9,8
1787,351,10,12
3238,352,10,10
1249,353,10,8
1469,354,9,12
7635,355,9,12
5841,356,8,13
3175,357,9,11
9348,358,8,6
1040,359,8,12
7500,360,10,11
2922,361,10,8
3803,362,10,7
6357,363,9,11
1715,364,9,12
5624,365,7,14
1693,366,9,12
9853,367,8,10
2754,368,10,12
9480,369,9,7
83,370,9,11
1104,371,9,11
877,372,8,16
4194,373,10,7
337,374,8,10
9885,375,9,11
16,376,9,10
948,377,9,11
9763,378,8,9
8564,379,9,8
1938,380,11,12
3377,381,10,10
8697,382,9,12
2339,383,9,10
7472,384,10,8
1404,385,10,14
1025,386,10,9
2052,387,11,13
5399,388,9,15
774,389,8,12
52,390,9,10
2085,391,9,11
8545,392,9,8
7381,393,10,8
8164,394,8,12
4696,395,8,14
7044,396,9,8
5845,397,9,14
9413,398,9,7
3740,399,8,9
7223,400,10,9
2051,401,11,14
5176,402,9,15
8860,403,9,11
1191,404,9,9
4007,405,9,12
4800,406,9,15
6134,407,9,15
4313,408,10,11
4146,409,9,10
271,410,9,10
286,411,9,10
1200,412,8,10
809,413,10,14
80,414,8,12
2740,415,10,13
9265,416,9,9
5249,417,10,9
4251,418,9,8
2947,419,10,9
4757,420,9,16
8059,421,9,9
7204,422,9,10
6028,423,8,14
8016,424,9,10
5825,425,9,14
3844,426,10,10
8611,427,8,9
2576,428,8,12
8514,429,8,9
1693,430,9,12
2695,431,9,10
4071,432,9,11
9642,433,9,8
2120,434,11,13
2648,435,10,13
9724,436,9,10
2342,437,11,11
8610,438,10,10
9604,439,9,9
79,440,9,13
7367,441,10,9
7238,442,10,10
7331,443,10,10
7436,444,10,9
7237,445,9,11
5164,446,10,16
6580,447,9,11
7730,448,9,9
5333,449,9,15
7219,450,10,11
7527,451,10,11
4325,452,10,10
4766,453,10,17
410,454,9,10
5628,455,8,15
8592,456,9,11
7336,457,10,11
726,458,9,9
3884,459,9,11
8079,460,9,10
8678,461,9,13
1583,462,9,10
2999,463,11,8
7739,464,10,12
9894,465,9,12
27,466,10,11
7789,467,10,15
4871,468,10,13
9447,469,8,8
8143,470,8,13
7665,471,10,12
3403,472,10,11
8394,473,10,6
1667,474,9,11
5515,475,8,17
7551,476,10,11
9068,477,9,11
1845,478,10,12
3900,479,8,12
2635,480,10,14
3315,481,8,7
9313,482,9,10
296,483,8,11
477,484,8,9
7190,485,10,11
7280,486,9,10
95,487,10,12
3610,488,9,5
3938,489,10,13
1999,490,11,12
1900,491,11,14
360,492,9,11
5178,493,10,16
6290,494,9,13
6754,495,9,9
7787,496,8,16
6783,497,10,8
4088,498,9,12
739,499,9,12
3759,500,10,9
7665,501,9,12
1167,502,10,10
1364,503,10,11
3798,504,10,8
2420,505,9,13
3403,506,10,11
9021,507,9,11
9953,508,9,11
9270,509,10,11
2180,510,10,9
2261,511,11,10
564,512,8,9
6560,513,11,12
5998,514,10,11
1358,515,10,12
1094,516,10,13
2652,517,10,14
6814,518,9,9
620,519,9,10
8758,520,9,11
6758,521,10,10
8633,522,10,11
2411,523,10,13
2196,524,10,8
2342,525,11,11
9950,526,8,12
8674,527,10,14
8895,528,10,12
9996,529,10,12
1735,530,11,12
5251,531,10,10
5019,532,9,14
6524,533,9,13
683,534,9,10
3733,535,10,10
3126,536,10,7
2045,537,11,12
2840,538,11,14
4867,539,10,14
4554,540,10,15
1837,541,9,13
2384,542,11,7
134,543,10,13
7061,544,10,9
8775,545,10,12
513,546,9,9
9184,547,10,9
2791,548,11,15
6727,549,10,9
2170,550,11,10
9307,551,9,12
6540,552,11,13
7101,553,9,12
443,554,8,7
6930,555,10,11
5100,556,10,15
1057,557,10,14
3628,558,10,8
8221,559,9,11
863,560,10,15
8326,561,9,8
2016,562,11,13
3443,563,11,12
3252,564,10,11
417,565,10,11
1083,566,10,15
7019,567,10,10
1139,568,10,12
44,569,10,12
3681,570,11,9
132,571,10,14
7234,572,9,12
6246,573,10,14
1137,574,9,13
2438,575,9,14
6181,576,10,16
3838,577,10,11
2179,578,10,11
4008,579,10,13
922,580,9,13
6016,581,10,15
1742,582,11,13
244,583,10,11
8420,584,9,8
910,585,8,12
5021,586,10,15
871,587,9,14
4854,588,10,15
467,589,7,6
3618,590,10,7
6845,591,10,7
3074,592,10,9
7972,593,8,8
4524,594,10,16
7501,595,9,12
7330,596,10,11
920,597,8,14
917,598,10,15
7152,599,10,13
1639,600,10,12
5530,601,10,19
175,602,9,10
264,603,9,12
8144,604,9,14
4076,605,10,13
1280,606,10,9
1615,607,10,13
5406,608,9,16
3037,609,11,10
5323,610,10,15
9965,611,9,13
5109,612,9,16
910,613,9,12
5313,614,10,16
9503,615,7,10
